index,Textstelle,Metapher,Kandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig
0,"In beiden Fällen verwendet der Staat den größten Teil seiner Energie darauf, Zähne und Krallen wachsen zu lassen.",3,1,0,Metapher,"['Zähnen und Krallen', 'Zähnen und Krallen', nan, nan]","['der politische Körper', 'der politische Körper', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Der politische Körper verwendet in beiden Fällen seine meiste Kraft auf die Zunahme von Zähnen und Krallen."""
1,"Der grundlegende Irrtum wird immer noch durch die protestantische Lehre aufrechterhalten, dass allein der Glaube zählt und dass aus dem Glauben zwangsläufig Werke folgen.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Immer noch wird durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen."
2,"Ohne Zweifel, schreibt Alb. Schaeffle, ging davon aus, dass Demokratisierung nicht notwendigerweise Republikanisierung ist, der Demokratie gehört die Zukunft, in der alten wie in der neuen, und Kidd sagt: Die historische Tatsache unserer Zeit, die alle anderen übertrifft, ist das Aufkommen der Demokratie. . . . Diejenigen, die glauben, dass Chaos statt Ordnung durch sie kommen wird, verstehen die Natur ihrer Macht nicht. . . . und Sorgen über die Zukunft einer entstehenden Demokratie, die auf Vergleichen mit der Vergangenheit beruhen, sind hinfällig und wertlos. . . .",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Kein Zweifel"", schreibt Alb. Schaeffle 1), vorausschickend, daß Demokratisierung nicht notwendig Republikanisierung sei, ""die Zukunft gehört der Demokratie, in der alten Welt wie in der neuen"", Und Kidd 2) sagt: ""Die geschichtliche Tatsache unserer Zeit, die alle anderen in den Schatten stellt, ist das Kommen der Demokratie . . . . Die da glauben, durch sie werde statt Ordnung ein Chaos kommen, erfassen die Natur seiner Stärke nicht . . . . und Befürchtungen betreffs der Zukunft der auftretenden Demokratie, die sich auf Vergleiche mit der Vergangenheit gründen, sind unzulässig und wertlos . . . ."" zulässig und wertlos . . . ."""
3,"Je weiter wir lernen, die materielle Welt zu untersuchen, je klarer wir die wahre Beziehung ermessen, in der der Mensch und seine Handlungen zum harmonischen Ganzen stehen, desto verkleinerter und entblößter wird unser praktisches Ideal, bis wir geneigt sind zu fragen, ob ein solches vergänglich ist und ein unbedeutendes Ereignis in der allgemeinen Ordnung der Dinge, wie das Schicksal des Menschengeschlechts, kann dennoch die Wünsche und Gefühle befriedigen, die im Glauben an das Ewige und an Gott gewachsen sind.",1,3,0,Metaphernkandidat,"[nan, 'Stoffwelt, verzwergt und entkleidet', nan, nan]","[nan, 'unser praktisches Ideal', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmonischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis nischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem Glauben an das Ewige und Gott."""
4,"Solange die Menschheit ihre Zerstörer mehr bewundert als ihre Wohltäter, muss der Durst nach Ruhm im Krieg immer die Schuld der edelsten Gestalten sein,",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Solange das Menschengeschlecht seinen Zerstörern größere Bewunderung zollen wird als seinen Wohltätern, muß auch der Durst derung zollen wird als seinen Wohltätern, muß auch der Durst nach Kriegsruhm stets den Fehler der erhabensten Charaktere bilden"","
5,"Wenn weiße oder schwarze Tauben etablierter Rassen gepaart werden, erben die Nachkommen mit ziemlicher Sicherheit die gleichen Farben, aber wenn verschiedenfarbige Taubenrassen gekreuzt werden, arbeiten die gegensätzlichen Kräfte der Vererbung offensichtlich gegeneinander und die angeborene Tendenz der Eltern, die schieferblau produzieren, d.h. Nachkommen produzieren, die in die Elternform zurückkehren, gewinnen die Oberhand.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wenn 2 weiße oder 2 schwarze Tauben gut begründeter Rassen gepaart werden, so erben die Nachkommen beinahe sicher dieselben Farben; werden aber verschieden gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten Kräfte der Vererbung gegeneinander und die — beiden Eltern inhärente — Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu erzeugen, gewinnt die Oberhand 2)."""
6,"Wir behaupten nicht, dass Bildung der einzige Faktor ist, der die Geburtenrate senkt, es ist nur einer jener Faktoren, die in Verbindung mit materiellen Annehmlichkeiten, mit einem weniger lebhaften und weniger wahrnehmbaren religiösen Gefühl und mit einem brennenden Verlangen nach etwas Höherem in der Materie respektiert und sich auf eine bessere Basis stellt, solche intellektuellen und moralischen Qualitäten ansammeln, die einer hohen Geburtenrate entgegenstehen. . . .",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburtenziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequem- ziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequemlichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit lichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Geburtenziffer wenig günstig sind . . . . burtenziffer wenig günstig sind . . . . "
7,"Aber auch über dieses Extrem hinaus erhält der Staat in letzter Zeit unvergleichlich höhere Aufgaben. Die Lenkung des Freihandels war von großer Bedeutung, in frühen Zeiten sogar notwendig, um das Gewirr mittelalterlicher Schranken, die Versklavung der unteren Klassen und die Überwachung der individuellen Freiheit zu beseitigen.",0,5,0,Metaphernkandidat,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung, ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen Freiheit aufzuräumen. "
8,Aber das Licht der Selektionstheorie geht noch weiter.,1,3,0,Metaphernkandidat,"[nan, 'das Licht ... reicht noch weiter', nan, nan]","[nan, 'der Selektionstheorie', nan, nan]","['B', 'K', 'A', 'GoldStandard']", Aber das Licht der Selektionstheorie reicht noch weiter.
9,Aber das wichtigste Ereignis war die Geburt und der Triumph von Darwins Ursprungstheorie.,2,2,0,Metaphernkandidat,"[nan, 'die Geburt und der Siegeslauf', 'Geburt und der Sieges-lauf', nan]","[nan, 'der Darwinschen Descendenztheorie', 'der Darwinschen Descendenztheorie.', nan]","['B', 'K', 'A', 'GoldStandard']", Aber das bedeutendste Ereignis war doch die Geburt und der Siegeslauf der Darwinschen Descendenztheorie. lauf der Darwinschen Descendenztheorie.
