index,Textstelle,Metapher,Kandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig
0,In beiden Fällen verwendet die Politik den größten Teil ihrer Energie auf das Wachstum von Zähnen und Krallen.,3,1,0,Metapher,"['Zähnen und Krallen', 'Zähnen und Krallen', nan, nan]","['der politische Körper', 'der politische Körper', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Der politische Körper verwendet in beiden Fällen seine meiste Kraft auf die Zunahme von Zähnen und Krallen."""
1,"Der fundamentale Irrtum wird immer noch durch die protestantische Lehre aufrechterhalten, dass nur der Glaube zählt und dass aus dem Glauben zwingend Taten folgen müssen.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Immer noch wird durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen."
2,"Kein Zweifel, schreibt Alb. Schaeffle, wies darauf hin, dass Demokratisierung nicht notwendigerweise Republikanisierung ist, die Zukunft gehört der Demokratie, in der alten Welt wie in der neuen, und Kidd sagt, dass die historische Tatsache unserer Zeit, die alle anderen in den Schatten stellt, die Entstehung der Demokratie ist. . . . Diejenigen, die glauben, dass durch sie Chaos statt Ordnung kommen wird, begreifen nicht die Natur seiner Stärke. . . . und Angst vor der Zukunft der neuen Demokratie, die auf Vergleichen mit der Vergangenheit beruht, ist ungültig und wertlos. . . .",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Kein Zweifel"", schreibt Alb. Schaeffle 1), vorausschickend, daß Demokratisierung nicht notwendig Republikanisierung sei, ""die Zukunft gehört der Demokratie, in der alten Welt wie in der neuen"", Und Kidd 2) sagt: ""Die geschichtliche Tatsache unserer Zeit, die alle anderen in den Schatten stellt, ist das Kommen der Demokratie . . . . Die da glauben, durch sie werde statt Ordnung ein Chaos kommen, erfassen die Natur seiner Stärke nicht . . . . und Befürchtungen betreffs der Zukunft der auftretenden Demokratie, die sich auf Vergleiche mit der Vergangenheit gründen, sind unzulässig und wertlos . . . ."" zulässig und wertlos . . . ."""
3,"Je länger wir hinschauen, lernen wir die materielle Welt sehen, je klarer messen wir das wirkliche Verhältnis, in dem der Mensch und sein Handeln zum harmonischen Ganzen stehen, desto verkleinerter und entblößter wird unser praktisches Ideal, bis wir geneigt sind zu fragen, ob ein solches vergängliches und bedeutungsloses Ereignis in der gewöhnlichen Ordnung der Dinge wie das Schicksal der Menschheit kann doch die Sehnsucht und die Gefühle stillen, die im Glauben an das Ewige und an Gott gewachsen sind.",1,3,0,Metaphernkandidat,"[nan, 'Stoffwelt, verzwergt und entkleidet', nan, nan]","[nan, 'unser praktisches Ideal', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmonischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis nischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem Glauben an das Ewige und Gott."""
4,"Solange die Menschheit ihre Zerstörer mehr bewundert als ihre Wohltäter, muss der Ehrgeiz im Krieg immer die Schuld der höchsten Ränge sein,",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Solange das Menschengeschlecht seinen Zerstörern größere Bewunderung zollen wird als seinen Wohltätern, muß auch der Durst derung zollen wird als seinen Wohltätern, muß auch der Durst nach Kriegsruhm stets den Fehler der erhabensten Charaktere bilden"","
5,"Bei der Verpaarung von weißen oder schwarzen Tauben etablierter Rassen erben die Nachkommen mit ziemlicher Sicherheit die gleichen Farben, aber bei der Kreuzung verschiedenfarbiger Taubenrassen stehen sich offensichtlich die gegensätzlichen Kräfte der Vererbung und die den Eltern innewohnende Neigung zur Bildung von Schieferblau gegenüber , dh. h. Nachkommen zu zeugen, die wieder in die elterliche Form übernommen werden.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wenn 2 weiße oder 2 schwarze Tauben gut begründeter Rassen gepaart werden, so erben die Nachkommen beinahe sicher dieselben Farben; werden aber verschieden gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten Kräfte der Vererbung gegeneinander und die — beiden Eltern inhärente — Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu erzeugen, gewinnt die Oberhand 2)."""
6,"Wir behaupten nicht, dass Bildung der einzige Faktor ist, der die Geburtenrate senkt; es ist nur einer dieser Faktoren, der zusammen mit materiellem Komfort, mit weniger lebhaften und weniger spürbaren religiösen Gefühlen und mit dem brennenden Verlangen nach etwas Höherem, das materiell respektiert und auf einen besseren Stand kommt, solche intellektuellen und moralischen Eigenschaften ansammelt, die einem ungünstig sind hohe Geburtenrate. . . .",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburtenziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequem- ziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequemlichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit lichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Geburtenziffer wenig günstig sind . . . . burtenziffer wenig günstig sind . . . . "
7,"Aber auch abseits dieses Extrems sind dem Staat in jüngster Zeit wieder unvergleichlich höhere Aufgaben übertragen worden. Die Lenkung des Freihandels war von großer Bedeutung, ja in der Anfangszeit sogar unabdingbar, um das Gewirr mittelalterlicher Schranken, der Sklaverei der Unterschichten und der polizeilichen Einschränkung der individuellen Freiheit zu bereinigen.",0,5,0,Metaphernkandidat,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung, ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen Freiheit aufzuräumen. "
8,Aber das Licht der Selektionstheorie geht noch weiter.,1,3,0,Metaphernkandidat,"[nan, 'das Licht ... reicht noch weiter', nan, nan]","[nan, 'der Selektionstheorie', nan, nan]","['B', 'K', 'A', 'GoldStandard']", Aber das Licht der Selektionstheorie reicht noch weiter.
9,Aber das wichtigste Ereignis war die Geburt und der Triumph von Darwins Abstammungstheorie.,2,2,0,Metaphernkandidat,"[nan, 'die Geburt und der Siegeslauf', 'Geburt und der Sieges-lauf', nan]","[nan, 'der Darwinschen Descendenztheorie', 'der Darwinschen Descendenztheorie.', nan]","['B', 'K', 'A', 'GoldStandard']", Aber das bedeutendste Ereignis war doch die Geburt und der Siegeslauf der Darwinschen Descendenztheorie. lauf der Darwinschen Descendenztheorie.
