index,Textstelle,Metapher,Kandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig
0,I begge tilfælde bruger det politiske organ det meste af sin energi på vækst af tænder og kløer.,3,1,0,Metapher,"['Zähnen und Krallen', 'Zähnen und Krallen', nan, nan]","['der politische Körper', 'der politische Körper', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Der politische Körper verwendet in beiden Fällen seine meiste Kraft auf die Zunahme von Zähnen und Krallen."""
1,"Den grundlæggende fejl bliver stadig videreført af den protestantiske lære om, at kun tro betyder noget, og at gerninger nødvendigvis må følge af tro.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Immer noch wird durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen."
2,"Ingen tvivl, skriver Alb. Schaeffle, præmiserede, at demokratisering ikke nødvendigvis er republikanisering, fremtiden tilhører demokratiet, i den gamle verden som i den nye, Og Kidd siger, at vor tids historiske kendsgerning, der dværger alle andre, er demokratiets fremkomst. . . . De, der tror, ​​at gennem dem vil kaos komme i stedet for orden, fatter ikke naturen af ​​hans styrke. . . . og frygt for fremtiden for det nye demokrati baseret på sammenligninger med fortiden er ugyldig og værdiløs. . . .",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Kein Zweifel"", schreibt Alb. Schaeffle 1), vorausschickend, daß Demokratisierung nicht notwendig Republikanisierung sei, ""die Zukunft gehört der Demokratie, in der alten Welt wie in der neuen"", Und Kidd 2) sagt: ""Die geschichtliche Tatsache unserer Zeit, die alle anderen in den Schatten stellt, ist das Kommen der Demokratie . . . . Die da glauben, durch sie werde statt Ordnung ein Chaos kommen, erfassen die Natur seiner Stärke nicht . . . . und Befürchtungen betreffs der Zukunft der auftretenden Demokratie, die sich auf Vergleiche mit der Vergangenheit gründen, sind unzulässig und wertlos . . . ."" zulässig und wertlos . . . ."""
3,"Jo længere vi kigger, vi lærer at overskue den materielle verden, jo klarere måler vi det virkelige forhold, hvori mennesket og dets handlinger står til den harmoniske helhed, jo mere dværgede og afklædte vores praktiske ideal, indtil vi føler tilbøjelighed til at spørge, om en sådan forbigående og meningsløs begivenhed i tingenes almindelige orden som menneskeslægtens skæbne stadig kan tilfredsstille den længsel og de følelser, der er vokset frem i troen på det evige og på Gud.",1,3,0,Metaphernkandidat,"[nan, 'Stoffwelt, verzwergt und entkleidet', nan, nan]","[nan, 'unser praktisches Ideal', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmonischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis nischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem Glauben an das Ewige und Gott."""
4,"Så længe menneskeheden beundrer sine ødelæggere mere end sine velgørere, må tørsten efter ære i krig altid være de højeste karakterers skyld,",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Solange das Menschengeschlecht seinen Zerstörern größere Bewunderung zollen wird als seinen Wohltätern, muß auch der Durst derung zollen wird als seinen Wohltätern, muß auch der Durst nach Kriegsruhm stets den Fehler der erhabensten Charaktere bilden"","
5,"Når hvide eller sorte duer af veletablerede racer parres, arver afkommet næsten helt sikkert de samme farver, men når forskelligt farvede dueracer krydses, modarbejder arvelighedens modsatrettede kræfter åbenbart hinanden og forældrenes iboende tendens til at producere skiferblå , dvs. H. at producere afkom, der vender tilbage til forældreformen, får overtaget.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wenn 2 weiße oder 2 schwarze Tauben gut begründeter Rassen gepaart werden, so erben die Nachkommen beinahe sicher dieselben Farben; werden aber verschieden gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten Kräfte der Vererbung gegeneinander und die — beiden Eltern inhärente — Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu erzeugen, gewinnt die Oberhand 2)."""
6,"Vi hævder ikke, at uddannelse er den eneste faktor, der reducerer fødselstallet; det er kun én af disse faktorer, der kombineret med materiel komfort, med mindre livlige og mindre mærkbare religiøse følelser og med det brændende ønske om noget højere materielt respekterer og kommer på bedre fod, akkumulerer sådanne intellektuelle og moralske kvaliteter, der er ugunstige for en høj fødselsrate. . . .",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburtenziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequem- ziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequemlichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit lichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Geburtenziffer wenig günstig sind . . . . burtenziffer wenig günstig sind . . . . "
7,"Men selv bortset fra denne yderlighed har staten igen fået uforlignelig højere opgaver i nyere tid. Retningen af ​​frihandel var af stor betydning, ja den var uundværlig i de tidlige dage for at rydde op i virvaren af ​​middelalderlige barrierer, slaveri af de lavere klasser og politiets begrænsninger af individuel frihed.",0,5,0,Metaphernkandidat,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung, ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen Freiheit aufzuräumen. "
8,Men selektionsteoriens lys rækker endnu længere.,1,3,0,Metaphernkandidat,"[nan, 'das Licht ... reicht noch weiter', nan, nan]","[nan, 'der Selektionstheorie', nan, nan]","['B', 'K', 'A', 'GoldStandard']", Aber das Licht der Selektionstheorie reicht noch weiter.
9,Men den vigtigste begivenhed var fødslen og triumfen af ​​Darwins teori om afstamning.,2,2,0,Metaphernkandidat,"[nan, 'die Geburt und der Siegeslauf', 'Geburt und der Sieges-lauf', nan]","[nan, 'der Darwinschen Descendenztheorie', 'der Darwinschen Descendenztheorie.', nan]","['B', 'K', 'A', 'GoldStandard']", Aber das bedeutendste Ereignis war doch die Geburt und der Siegeslauf der Darwinschen Descendenztheorie. lauf der Darwinschen Descendenztheorie.
