,index,Textstelle,Metapher,Kandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig,lang,Backtranslation
3196,0,In beiden Fällen verwendet die Politik den größten Teil ihrer Energie auf das Wachstum von Zähnen und Krallen.,3,1,0,Metapher,"{'Krallen', 'Zähnen'}","['der politische Körper', 'der politische Körper', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Der politische Körper verwendet in beiden Fällen seine meiste Kraft auf die Zunahme von Zähnen und Krallen.""",da,weitgehend unverändert
3213,17,Aber zur Zeit des Heraklit wurde die Saat dieser Erkenntnis vergebens gesät.,4,0,0,Metapher,"{'vergeblich', 'ausgestreute', 'Same', 'der', '...', 'ausgestreut'}","['zu dieser Erkenntnis', 'zu dieser Erkenntnis', 'zu dieser Erkenntnis', nan]","['B', 'K', 'A', 'GoldStandard']", Aber zu Heraklits Zeit wurde der Same zu dieser Erkenntnis vergeblich ausgestreut. kenntnis vergeblich ausgestreut.,da,Wortlaut verändert
3220,24,"Bei ihnen stand alles auf einer Fläche, alles war zu einem Stoff verwoben, das Gute und Heilige nur eine Hülle in einem breiten irdischen Stück Papier.",4,1,0,Metapher,"{'verwoben', 'irdischen', 'einen', 'Gewebe', 'Zettel', 'in', 'breiten'}","['alles', 'das Gute und Heilige', nan, 'nur ein Einschlag in', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Alles stand bei ihnen auf einer Fläche, alles war in ein Gewebe gewoben, das Gute und Heilige nur ein Einschlag in einen breiten irdischen Zettel.",da,Wortlaut verändert
3222,26,"Die vierte Operation, die wir erwähnen möchten, ist das Bedürfnis nach Kausalität, das die Menschen dazu treibt, die Ursachen von Phänomenen zu untersuchen, und es ihnen ermöglicht hat, in die Werkstatt der Natur einzudringen.",5,0,0,Metapher,"{'der', 'Werkstatt', 'Natur'}","['der Natur', 'Der Natur', 'in die Werkstatt eindringen', 'der Natur', 'der Natur']","['B', 'A', 'P', 'K', 'GoldStandard']"," Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn befähigt hat, in die Werkstatt der Natur einzudringen.",da,weitgehend unverändert
3228,32,"Auch er ist ein Kenner des Römischen Reiches, und seine große dreibändige Dogmengeschichte ist nichts anderes als eine Geschichte der allmählichen Verholzung oder Versteinerung der christlichen Kirchen.",5,0,0,Metapher,"{'oder', 'Verholzung', 'Versteinerung'}","['der christlichen Kirchen', 'der christlichen Kirchen', 'der christlichen Kirchen', 'der christlichen Kirche', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Auch er ist ein genauer Kenner gerade der römischen Kaiserzeit, und seine große dreibändige Dogmengeschichte ist nichts anderes als eine Geschichte der all- bändige Dogmengeschichte ist nichts anderes als eine Geschichte der allmählichen Verholzung oder Versteinerung der christlichen Kirchen. mählichen Verholzung oder Versteinerung der christlichen Kirchen.",da,weitgehend unverändert
3232,36,"Wenn man einen solchen moralischen Wert beachtet, kann man am besten das Horoskop einer Nation aufstellen.",9,0,0,Metapher,"{'das', 'Horoskop', 'stellen'}","['einer Nation', 'einer Nation', 'einer Nation', 'einer Nation', 'einer Nation', 'einer Nation', 'einer Nation', 'einer Nation', nan]","['B', 'A', 'P', 'B', 'A', 'P', 'K', 'K', 'GoldStandard']"," Bei Beobachtung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."" tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen.""",da,weitgehend unverändert
3233,37,"Bei Matthäus ist es buchstäblich kopiert, nur hin und wieder sind schon kleine Kerzen freigelegt. Der Verfasser des Lukastextes hatte ihn auch in der mittleren Spalte vor sich, verunreinigte ihn aber mit einer anderen Quelle in der ersten Spalte, daher zweimalige Erwähnung des Kelchs, vor allem aber aus Respekt vor der Heiligkeit der Jünger, die ihn hatten schon entstanden, es hat es gründlich verdorben.",4,1,0,Metapher,"{'wörtlich', 'gründlich', 'kontaminiert', 'kleine', 'kontaminniert', 'ausgesetzt', 'abgeschrieben', 'Lichter', 'verdorben'}","[nan, 'mit einer anderen Quelle', 'mit einer anderen Quelle', 'er [vermutlich der Text] / er [vermutlich der Text] / mit einer anderen Quelle / ihn [vermutlich der Text]', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Bei Matthäus ist er ziemlich wörtlich abgeschrieben, nur hin und wieder sind bereits kleine Lichter ausgesetzt1). Der Verfasser des Lukastextes hat ihn ebenfalls vor sich gehabt (mittlere Spalte), jedoch ihn mit einer anderen Quelle kontaminiert (erste Spalte, daher die zweimalige Erwähnung des Bechers), besonders aber aus Respekt vor der bereits aufgekommenen Heiligkeit der Jünger ihn gründlich verdorben.",da,Metapher verloren
3250,54,"Das eine ist eine ökonomische Unmöglichkeit, das andere eine biologische Unmöglichkeit. Der einzige Weg, der zu bedeutenden Erfolgen führen kann, wird nicht populär, weil er nie begangen wurde und deshalb nur deshalb voller heikler Schwierigkeiten ist",3,1,0,Metapher,"{'an', 'dornigen', 'Schwierigkeiten', 'reich'}","[nan, 'Schwierigkeiten', 'Schwierigkeiten', nan]","['B', 'K', 'A', 'GoldStandard']"," Das eine ist eine wirtschaftliche, das andere eine biologische Unmöglichkeit. Der einzige Weg, der zu liche, das andere eine biologische Unmöglichkeit. Der einzige Weg, der zu nennenswerten Erfolgen führen könnte, wird nicht beliebt, da er noch nie begangen und darum, nur darum, reich an dornigen Schwierigkeiten ist:",da,Metapher verloren
3267,71,"Aber der Staat hat den Frieden geschaffen, und deshalb ist der Staat, das letzte und bisher höchste Naturprodukt, das wir kennen, nicht das Grab, wie der dumme Unwissende glaubt, sondern die Wiege der Freiheit.",4,1,0,Metapher,"{'Wiege', 'das', 'die', 'Grab'}","['der Freiheit', 'der Freiheit', nan, 'der Freiheit', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Den Frieden aber hat der Staat geschaffen; und darum ist der Staat, das letzte und bisher höchste Naturprodukt, welches wir kennen, nicht, wie blöder Unverstand glaubt, das Grab, sondern die Wiege der Freiheit.",da,weitgehend unverändert
3269,73,"Denn das Gesetz bringt Ordnung und Gleichheit als unzertrennliche Begleiter mit sich, zunächst Aschenputtel im Haus der Gewalt, mit der Zeit wird es zum großen Domomo.",5,0,0,Metapher,"{'Majordomus', 'im', 'Hause', 'Aschenbrödel', 'Haus', 'Gewalt', 'der', 'das', 'Gewaltder'}","['das Gesetz', 'das Gesetz', 'das Gesetz', 'das Gesetz / der Gewalt // das Gesetz', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Denn das Gesetz bringt als unzertrennliche Gefährten die Ordnung und die Gleichheit mit sich — anfänglich das Aschenbrödel im Hause der Gewalt, wird es im Laufe der Zeit der Majordomus«.«",da,Wortlaut verändert
