,index,Textstelle,Metapher,Metaphernkandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig,lang,sentence_id
0,0," ""Der politische Körper verwendet in beiden Fällen seine meiste Kraft auf die Zunahme von Zähnen und Krallen.""",3,1,0,Metapher,"['Zähnen und Krallen', 'Zähnen und Krallen', nan, nan]","['der politische Körper', 'der politische Körper', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Der politische Körper verwendet in beiden Fällen seine meiste Kraft auf die Zunahme von Zähnen und Krallen.""",de,0
1,1," ""Immer noch wird durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Immer noch wird durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen.",de,1
2,2," ""Kein Zweifel"", schreibt Alb. Schaeffle 1), vorausschickend, daß Demokratisierung nicht notwendig Republikanisierung sei, ""die Zukunft gehört der Demokratie, in der alten Welt wie in der neuen"", Und Kidd 2) sagt: ""Die geschichtliche Tatsache unserer Zeit, die alle anderen in den Schatten stellt, ist das Kommen der Demokratie . . . . Die da glauben, durch sie werde statt Ordnung ein Chaos kommen, erfassen die Natur seiner Stärke nicht . . . . und Befürchtungen betreffs der Zukunft der auftretenden Demokratie, die sich auf Vergleiche mit der Vergangenheit gründen, sind unzulässig und wertlos . . . ."" zulässig und wertlos . . . .""",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Kein Zweifel"", schreibt Alb. Schaeffle 1), vorausschickend, daß Demokratisierung nicht notwendig Republikanisierung sei, ""die Zukunft gehört der Demokratie, in der alten Welt wie in der neuen"", Und Kidd 2) sagt: ""Die geschichtliche Tatsache unserer Zeit, die alle anderen in den Schatten stellt, ist das Kommen der Demokratie . . . . Die da glauben, durch sie werde statt Ordnung ein Chaos kommen, erfassen die Natur seiner Stärke nicht . . . . und Befürchtungen betreffs der Zukunft der auftretenden Demokratie, die sich auf Vergleiche mit der Vergangenheit gründen, sind unzulässig und wertlos . . . ."" zulässig und wertlos . . . .""",de,2
3,3," ""Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmonischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis nischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem Glauben an das Ewige und Gott.""",1,3,0,Metaphernkandidat,"[nan, 'Stoffwelt, verzwergt und entkleidet', nan, nan]","[nan, 'unser praktisches Ideal', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmonischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis nischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem Glauben an das Ewige und Gott.""",de,3
4,4," ""Solange das Menschengeschlecht seinen Zerstörern größere Bewunderung zollen wird als seinen Wohltätern, muß auch der Durst derung zollen wird als seinen Wohltätern, muß auch der Durst nach Kriegsruhm stets den Fehler der erhabensten Charaktere bilden"",",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Solange das Menschengeschlecht seinen Zerstörern größere Bewunderung zollen wird als seinen Wohltätern, muß auch der Durst derung zollen wird als seinen Wohltätern, muß auch der Durst nach Kriegsruhm stets den Fehler der erhabensten Charaktere bilden"",",de,4
5,5," ""Wenn 2 weiße oder 2 schwarze Tauben gut begründeter Rassen gepaart werden, so erben die Nachkommen beinahe sicher dieselben Farben; werden aber verschieden gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten Kräfte der Vererbung gegeneinander und die — beiden Eltern inhärente — Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu erzeugen, gewinnt die Oberhand 2).""",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wenn 2 weiße oder 2 schwarze Tauben gut begründeter Rassen gepaart werden, so erben die Nachkommen beinahe sicher dieselben Farben; werden aber verschieden gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten Kräfte der Vererbung gegeneinander und die — beiden Eltern inhärente — Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu erzeugen, gewinnt die Oberhand 2).""",de,5
6,6," ""Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburtenziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequem- ziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequemlichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit lichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Geburtenziffer wenig günstig sind . . . . burtenziffer wenig günstig sind . . . . ",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburtenziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequem- ziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequemlichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit lichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Geburtenziffer wenig günstig sind . . . . burtenziffer wenig günstig sind . . . . ",de,6
7,7," Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung, ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen Freiheit aufzuräumen. ",0,5,0,Metaphernkandidat,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung, ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen Freiheit aufzuräumen. ",de,7
8,8, Aber das Licht der Selektionstheorie reicht noch weiter.,1,3,0,Metaphernkandidat,"[nan, 'das Licht ... reicht noch weiter', nan, nan]","[nan, 'der Selektionstheorie', nan, nan]","['B', 'K', 'A', 'GoldStandard']", Aber das Licht der Selektionstheorie reicht noch weiter.,de,8
9,9, Aber das bedeutendste Ereignis war doch die Geburt und der Siegeslauf der Darwinschen Descendenztheorie. lauf der Darwinschen Descendenztheorie.,2,2,0,Metaphernkandidat,"[nan, 'die Geburt und der Siegeslauf', 'Geburt und der Sieges-lauf', nan]","[nan, 'der Darwinschen Descendenztheorie', 'der Darwinschen Descendenztheorie.', nan]","['B', 'K', 'A', 'GoldStandard']", Aber das bedeutendste Ereignis war doch die Geburt und der Siegeslauf der Darwinschen Descendenztheorie. lauf der Darwinschen Descendenztheorie.,de,9
