index,Textstelle,Metapher,Kandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig
0,"""In both cases the political body expends most of its energy on the growth of teeth and claws.""",3,1,0,Metapher,"['Zähnen und Krallen', 'Zähnen und Krallen', nan, nan]","['der politische Körper', 'der politische Körper', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Der politische Körper verwendet in beiden Fällen seine meiste Kraft auf die Zunahme von Zähnen und Krallen."""
1,"""The Protestant teaching still perpetuates the basic error that only faith matters and that works must necessarily follow from faith.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Immer noch wird durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen."
2,"""No doubt,"" writes Alb. Schaeffle 1), anticipating that democratization is not necessarily republicanization, ""the future belongs to democracy, in the old world as well as in the new"", and Kidd 2) says: ""The historical fact of our time which overshadows all others , is the coming of democracy.... Those who believe that it will bring chaos instead of order fail to grasp the nature of its strength... and apprehensions about the future of emerging democracy based on comparisons with the past , are inadmissible and worthless . . . ."" permissible and worthless. . . .""",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Kein Zweifel"", schreibt Alb. Schaeffle 1), vorausschickend, daß Demokratisierung nicht notwendig Republikanisierung sei, ""die Zukunft gehört der Demokratie, in der alten Welt wie in der neuen"", Und Kidd 2) sagt: ""Die geschichtliche Tatsache unserer Zeit, die alle anderen in den Schatten stellt, ist das Kommen der Demokratie . . . . Die da glauben, durch sie werde statt Ordnung ein Chaos kommen, erfassen die Natur seiner Stärke nicht . . . . und Befürchtungen betreffs der Zukunft der auftretenden Demokratie, die sich auf Vergleiche mit der Vergangenheit gründen, sind unzulässig und wertlos . . . ."" zulässig und wertlos . . . ."""
3,"""The further we look we learn to survey the world of matter, the clearer we measure the real relationship in which man and his actions stand to the harmonious whole, the more dwarfed and undressed our practical ideal until it stands as a niche whole, all the more dwarfed and Our practical ideal undresses, until we feel inclined to question whether so fleeting and meaningless an event in the general order of things as the fates of the human race are, can still satisfy the longings and feelings that have grown in the belief in eternity and in God.""",1,3,0,Metaphernkandidat,"[nan, 'Stoffwelt, verzwergt und entkleidet', nan, nan]","[nan, 'unser praktisches Ideal', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmonischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis nischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem Glauben an das Ewige und Gott."""
4,"""As long as the human race pays greater admiration to its destroyers than to its benefactors, the thirst must also pay greater admiration to its benefactors than to its benefactors, even the thirst for glory in war must always be the fault of the loftiest characters.""",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Solange das Menschengeschlecht seinen Zerstörern größere Bewunderung zollen wird als seinen Wohltätern, muß auch der Durst derung zollen wird als seinen Wohltätern, muß auch der Durst nach Kriegsruhm stets den Fehler der erhabensten Charaktere bilden"","
5,"""When 2 white or 2 black pigeons of well-established breeds are mated, the offspring almost certainly inherit the same colours; but when different colored pigeon breeds are crossed, the opposing forces of heredity appear to work against each other and the tendency inherent in both parents to be slate blue , i.e. to produce offspring that revert to the parent form, gains the upper hand 2).""",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wenn 2 weiße oder 2 schwarze Tauben gut begründeter Rassen gepaart werden, so erben die Nachkommen beinahe sicher dieselben Farben; werden aber verschieden gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten Kräfte der Vererbung gegeneinander und die — beiden Eltern inhärente — Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu erzeugen, gewinnt die Oberhand 2)."""
6,"""We do not claim that education is the only factor which reduces the birth rate; it is only one of those factors which, combined with material comfort, decreases; it is only one of those factors which, combined with material comfort, with less vivid and less perceptible religious feelings, and with a willingness to accumulate, with less vivid and less perceptible religious feelings, and with a fervent desire to get on a higher and better foot materially, such intellectual and moral qualities as are little for a high birth-rate are favorable . . . . birth rates are not very favorable . . . .",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburtenziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequem- ziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequemlichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit lichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Geburtenziffer wenig günstig sind . . . . burtenziffer wenig günstig sind . . . . "
7,"But even apart from this extreme, the state has again been given incomparably higher tasks in recent times. The direction of free trade was of great importance, indeed it was indispensable in the early days in order to clear up the tangle of medieval barriers, the enslavement of the lower classes and the police restrictions on individual freedom.",0,5,0,Metaphernkandidat,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung, ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen Freiheit aufzuräumen. "
8,But the light of selection theory reaches even further.,1,3,0,Metaphernkandidat,"[nan, 'das Licht ... reicht noch weiter', nan, nan]","[nan, 'der Selektionstheorie', nan, nan]","['B', 'K', 'A', 'GoldStandard']", Aber das Licht der Selektionstheorie reicht noch weiter.
9,But the most important event was the birth and triumph of Darwin's theory of descent. course of Darwin's theory of descent.,2,2,0,Metaphernkandidat,"[nan, 'die Geburt und der Siegeslauf', 'Geburt und der Sieges-lauf', nan]","[nan, 'der Darwinschen Descendenztheorie', 'der Darwinschen Descendenztheorie.', nan]","['B', 'K', 'A', 'GoldStandard']", Aber das bedeutendste Ereignis war doch die Geburt und der Siegeslauf der Darwinschen Descendenztheorie. lauf der Darwinschen Descendenztheorie.
