index,Textstelle,Metapher,Kandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig
0,"""In beiden Fällen wendet die Politik den größten Teil ihrer Energie auf das Wachstum von Zähnen und Krallen auf.""",3,1,0,Metapher,"['Zähnen und Krallen', 'Zähnen und Krallen', nan, nan]","['der politische Körper', 'der politische Körper', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Der politische Körper verwendet in beiden Fällen seine meiste Kraft auf die Zunahme von Zähnen und Krallen."""
1,"„Die protestantische Lehre hält immer noch den Grundirrtum aufrecht, dass nur der Glaube zählt und dass aus dem Glauben zwangsläufig Werke folgen müssen.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Immer noch wird durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen."
2,"""Kein Zweifel"", schreibt Alb. Schaeffle 1), der vorwegnimmt, dass Demokratisierung nicht notwendigerweise Republikanisierung ist, „der Demokratie gehört die Zukunft, in der alten wie in der neuen Welt“, und Kidd 2) sagt: „Die historische Tatsache unserer Zeit, die alle anderen überschattet, ist das Kommen der Demokratie .... Wer glaubt , sie bringe Chaos statt Ordnung , verkennt ihre Stärke ... und Befürchtungen über die Zukunft der entstehenden Demokratie , die auf Vergleichen mit der Vergangenheit beruhen , sind unzulässig und wertlos . . . .“ zulässig und wertlos. . . .""",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Kein Zweifel"", schreibt Alb. Schaeffle 1), vorausschickend, daß Demokratisierung nicht notwendig Republikanisierung sei, ""die Zukunft gehört der Demokratie, in der alten Welt wie in der neuen"", Und Kidd 2) sagt: ""Die geschichtliche Tatsache unserer Zeit, die alle anderen in den Schatten stellt, ist das Kommen der Demokratie . . . . Die da glauben, durch sie werde statt Ordnung ein Chaos kommen, erfassen die Natur seiner Stärke nicht . . . . und Befürchtungen betreffs der Zukunft der auftretenden Demokratie, die sich auf Vergleiche mit der Vergangenheit gründen, sind unzulässig und wertlos . . . ."" zulässig und wertlos . . . ."""
3,"„Je weiter wir blicken, lernen wir die Welt der Materie zu überblicken, je klarer wir das reale Verhältnis messen, in dem der Mensch und sein Handeln zum harmonischen Ganzen stehen, desto verkleinerter und entkleideter unser praktisches Ideal, bis es als Nischenganzes dasteht, alles Je zwergenhafter und Unser praktisches Ideal entkleidet sich, bis wir geneigt sind zu fragen, ob ein so flüchtiges und bedeutungsloses Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale des Menschengeschlechts sind, die im Glauben gewachsenen Sehnsüchte und Gefühle noch stillen kann in Ewigkeit und in Gott.""",1,3,0,Metaphernkandidat,"[nan, 'Stoffwelt, verzwergt und entkleidet', nan, nan]","[nan, 'unser praktisches Ideal', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmonischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis nischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem Glauben an das Ewige und Gott."""
4,"„Solange das Menschengeschlecht seinen Zerstörern größere Bewunderung zollt als seinen Wohltätern, muss auch der Durst seinen Wohltätern größere Bewunderung zollen als seinen Wohltätern, selbst der Durst nach Ruhm im Krieg muss immer die Schuld der erhabensten Charaktere sein. """,0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Solange das Menschengeschlecht seinen Zerstörern größere Bewunderung zollen wird als seinen Wohltätern, muß auch der Durst derung zollen wird als seinen Wohltätern, muß auch der Durst nach Kriegsruhm stets den Fehler der erhabensten Charaktere bilden"","
5,"""Wenn 2 weiße oder 2 schwarze Tauben etablierter Rassen verpaart werden, erben die Nachkommen mit ziemlicher Sicherheit die gleichen Farben; aber wenn verschiedenfarbige Taubenrassen gekreuzt werden, scheinen die gegensätzlichen Kräfte der Vererbung gegeneinander zu arbeiten und die innewohnende Tendenz beide Elternteile schieferblau zu sein, also Nachkommen zu zeugen, die in die Elternform zurückkehren, gewinnt die Oberhand 2).""",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wenn 2 weiße oder 2 schwarze Tauben gut begründeter Rassen gepaart werden, so erben die Nachkommen beinahe sicher dieselben Farben; werden aber verschieden gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten Kräfte der Vererbung gegeneinander und die — beiden Eltern inhärente — Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu erzeugen, gewinnt die Oberhand 2)."""
6,"„Wir behaupten nicht, dass Bildung der einzige Faktor ist, der die Geburtenrate senkt; es ist nur einer jener Faktoren, die, kombiniert mit materiellem Komfort, abnehmen; es ist nur einer jener Faktoren, die, kombiniert mit materiellem Komfort, weniger lebendig sind und weniger wahrnehmbaren religiösen Gefühlen, und mit einer Bereitschaft, mit weniger lebhaften und weniger wahrnehmbaren religiösen Gefühlen und mit einem glühenden Wunsch, materiell auf höhere und bessere Füße zu kommen, solche intellektuellen und moralischen Qualitäten anzusammeln, die für eine hohe Geburt wenig sind. Rate sind günstig . . . . Geburtenraten sind nicht sehr günstig . . . .",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," ""Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburtenziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequem- ziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequemlichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit lichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Geburtenziffer wenig günstig sind . . . . burtenziffer wenig günstig sind . . . . "
7,"Aber auch abseits dieses Extrems sind dem Staat in jüngster Zeit wieder unvergleichlich höhere Aufgaben übertragen worden. Die Lenkung des Freihandels war von großer Bedeutung, ja in der Frühzeit sogar unverzichtbar, um das Gewirr mittelalterlicher Schranken, der Versklavung der Unterschicht und der polizeilichen Einschränkung der individuellen Freiheit aufzulösen.",0,5,0,Metaphernkandidat,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung, ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen Freiheit aufzuräumen. "
8,Aber das Licht der Selektionstheorie reicht noch weiter.,1,3,0,Metaphernkandidat,"[nan, 'das Licht ... reicht noch weiter', nan, nan]","[nan, 'der Selektionstheorie', nan, nan]","['B', 'K', 'A', 'GoldStandard']", Aber das Licht der Selektionstheorie reicht noch weiter.
9,Aber das wichtigste Ereignis war die Geburt und der Triumph von Darwins Abstammungstheorie. Verlauf von Darwins Abstammungstheorie.,2,2,0,Metaphernkandidat,"[nan, 'die Geburt und der Siegeslauf', 'Geburt und der Sieges-lauf', nan]","[nan, 'der Darwinschen Descendenztheorie', 'der Darwinschen Descendenztheorie.', nan]","['B', 'K', 'A', 'GoldStandard']", Aber das bedeutendste Ereignis war doch die Geburt und der Siegeslauf der Darwinschen Descendenztheorie. lauf der Darwinschen Descendenztheorie.
